ano,orgao,codigo_orgao,orgao_superior,codigo_orgao_superior,empenhado,liquidado,pago,taxa_execucao,taxa_pagamento
2024,Universidade Federal do Rio Grande do Sul,26244,Ministério da Educação,26000,2469873599.73,2434683160.96,2218343803.82,98.58,89.82
2024,Universidade Federal da Bahia,26232,Ministério da Educação,26000,2347845955.23,2296782766.32,2137137051.59,97.83,91.03
2024,Fundação Universidade de Brasília,26271,Ministério da Educação,26000,2454432640.17,2248641844.75,2062681026.5,91.62,84.04
2024,Universidade Federal de Santa Catarina,26246,Ministério da Educação,26000,2310474694.63,2253891778.85,2036653744.95,97.55,88.15
2024,Universidade Federal da Paraíba,26240,Ministério da Educação,26000,2290486677.32,2216550406.67,1992685879.43,96.77,87.0
2024,Universidade Federal do Paraná,26241,Ministério da Educação,26000,2237797399.05,2175401751.23,1992248317.64,97.21,89.03
2024,Universidade Federal de Pernambuco,26242,Ministério da Educação,26000,2324025559.3,2207923704.29,1966177074.11,95.0,84.6
2024,Universidade Federal do Rio Grande do Norte,26243,Ministério da Educação,26000,2198436171.1,2126844274.23,1942294882.24,96.74,88.35
2024,Hospital de Clínicas de Porto Alegre,26294,Ministério da Educação,26000,2178483043.38,2100196498.23,1880816024.9,96.41,86.34
2024,Universidade Federal do Ceará,26233,Ministério da Educação,26000,1970450564.34,1936073769.45,1769534048.32,98.26,89.8
2024,Universidade Federal do Pará,26239,Ministério da Educação,26000,1894505868.32,1859000290.59,1701785580.15,98.13,89.83
2024,Universidade Federal de Santa Maria,26247,Ministério da Educação,26000,1772348594.48,1735186114.27,1578811514.27,97.9,89.08
2024,Fundação Universidade Federal de Uberlândia,26274,Ministério da Educação,26000,1725284515.1,1708364831.54,1560821073.07,99.02,90.47
2024,Universidade Federal de São Paulo,26262,Ministério da Educação,26000,1704892149.75,1632073473.34,1486695311.68,95.73,87.2
2024,Universidade Federal de Goiás,26235,Ministério da Educação,26000,1656980420.42,1583383446.67,1474769261.66,95.56,89.0
2024,Ministério da Educação - Unidades com vínculo direto,26000,Ministério da Educação,26000,1695744780.03,1298490721.61,1206900881.63,76.57,71.17
2024,Universidade Federal do Espírito Santo,26234,Ministério da Educação,26000,1311910131.31,1263133746.6,1161350865.63,96.28,88.52
2024,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",26439,Ministério da Educação,26000,1376643378.59,1271114018.8,1160626706.07,92.33,84.31
2024,Universidade Federal de Juiz de Fora,26237,Ministério da Educação,26000,1319163766.67,1213109076.68,1119306081.53,91.96,84.85
2024,Universidade Tecnológica Federal do Paraná,26258,Ministério da Educação,26000,1278451960.99,1194136736.59,1096178101.02,93.4,85.74
2024,Universidade Federal de Alagoas,26231,Ministério da Educação,26000,1237324301.73,1185115616.22,1073287511.74,95.78,86.74
2024,Fundação Universidade do Maranhão,26272,Ministério da Educação,26000,1197764354.3,1144700496.62,1066063072.58,95.57,89.0
2024,Fundação Universidade Federal do Mato Grosso do Sul,26283,Ministério da Educação,26000,1193801229.72,1142682264.69,1062115003.03,95.72,88.97
2024,Universidade Federal de Viçosa,26282,Ministério da Educação,26000,1135482239.31,1100656944.73,1007977467.74,96.93,88.77
2024,Fundação Universidade Federal do Mato Grosso,26276,Ministério da Educação,26000,1127346662.95,1038557366.95,969085309.85,92.12,85.96
2024,Fundação Universidade do Amazonas,26270,Ministério da Educação,26000,1056685549.57,1019894876.28,938024306.19,96.52,88.77
2024,Fundação Universidade Federal de Sergipe,26281,Ministério da Educação,26000,1034728957.91,1009201293.44,936392143.83,97.53,90.5
2024,Fundação Universidade Federal de Pelotas,26278,Ministério da Educação,26000,1016994138.23,1004470943.99,912585909.73,98.77,89.73
2024,"Instituto Federal de Educação, Ciência e Tecnologia do Ceará",26405,Ministério da Educação,26000,1065689175.81,1014976572.83,906734773.15,95.24,85.08
2024,Fundação Universidade Federal do Piauí,26279,Ministério da Educação,26000,1010630894.6,971532197.88,883681810.02,96.13,87.44
2024,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo",26406,Ministério da Educação,26000,1018141705.06,937484697.68,843383196.98,92.08,82.84
2024,Universidade Federal de Campina Grande,26252,Ministério da Educação,26000,942300049.35,925635643.39,829877004.88,98.23,88.07
2024,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão",26408,Ministério da Educação,26000,978243302.43,911226767.21,811826810.7,93.15,82.99
2024,Universidade Federal Rural do Rio de Janeiro,26249,Ministério da Educação,26000,873847798.62,823769179.04,760249304.99,94.27,87.0
2024,Colégio Pedro II,26201,Ministério da Educação,26000,861593281.52,825549618.55,757038434.3,95.82,87.86
2024,Fundação Universidade Federal de São Carlos,26280,Ministério da Educação,26000,831166939.38,822665479.68,744933114.32,98.98,89.62
2024,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte",26435,Ministério da Educação,26000,913718280.02,811421442.06,725161039.21,88.8,79.36
2024,"Instituto Federal de Educação, Ciência e Tecnologia da Bahia",26427,Ministério da Educação,26000,823530894.3,794191768.86,719731957.17,96.44,87.4
2024,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,26290,Ministério da Educação,26000,1007973624.59,728178953.26,709199533.27,72.24,70.36
2024,Universidade Federal Rural de Pernambuco,26248,Ministério da Educação,26000,784086352.51,760032491.62,687934784.02,96.93,87.74
2024,"Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina",26438,Ministério da Educação,26000,790425231.01,755070863.72,672632385.16,95.53,85.1
2024,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba",26417,Ministério da Educação,26000,771923908.31,727999560.46,651167557.1,94.31,84.36
2024,Universidade Federal do Rio Grande,26273,Ministério da Educação,26000,709724876.86,697566825.55,641990641.39,98.29,90.46
2024,"Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco",26418,Ministério da Educação,26000,723905135.89,693777132.27,635219350.88,95.84,87.75
2024,Universidade Federal do Estado do Rio de Janeiro,26269,Ministério da Educação,26000,791859314.16,668127705.02,607198728.92,84.37,76.68
2024,"Instituto Federal de Educação, Ciência e Tecnologia do Pará",26416,Ministério da Educação,26000,688485209.37,641570293.58,589326732.89,93.19,85.6
2024,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",26419,Ministério da Educação,26000,686093733.34,634838648.74,578199344.2,92.53,84.27
2024,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",26431,Ministério da Educação,26000,672421964.59,638358507.89,573475937.92,94.93,85.29
2024,Universidade Federal do Triângulo Mineiro,26254,Ministério da Educação,26000,632429502.78,612543268.8,559599912.59,96.86,88.48
2024,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso",26414,Ministério da Educação,26000,672636804.01,612572181.23,553634586.06,91.07,82.31
